CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	1       	LM FX Bubbles Rising2Cmw_bip.L.wav-05	   00:09:40:25	   00:09:48:00	   00:00:07:05	Unmuted
1       	2       	LM FX Bubbles Rising2Cmw_bip.L.wav-09	   00:09:53:21	   00:10:03:04	   00:00:09:13	Unmuted
1       	3       	LM FX Bubbles Rising2Cmw_bip.L.wav-11	   00:10:08:29	   00:10:15:12	   00:00:06:13	Unmuted
1       	4       	LM FX Bubbles Rising2Cmw_bip.L.wav-13	   00:10:20:12	   00:10:26:14	   00:00:06:02	Unmuted
1       	5       	LM FX Bubbles Rising2Cmw_bip.L.wav-15	   00:10:30:23	   00:10:38:00	   00:00:07:06	Unmuted
1       	6       	LM FX Bubbles Rising2Cmw_bip.L.wav-17	   00:10:41:07	   00:10:46:25	   00:00:05:18	Unmuted
1       	7       	LM FX Bubbles Rising2Cmw_bip.L.wav-19	   00:10:49:23	   00:10:54:27	   00:00:05:04	Unmuted
1       	8       	LM FX Bubbles Rising2Cmw_bip.L.wav-21	   00:10:57:14	   00:11:03:22	   00:00:06:07	Unmuted
1       	9       	LM FX Bubbles Rising2Cmw_bip.L.wav-23	   00:11:05:21	   00:11:10:14	   00:00:04:23	Unmuted
1       	10      	LM FX Bubbles Rising2Cmw_bip.L.wav-24	   00:11:13:10	   00:11:18:24	   00:00:05:13	Unmuted



